,link,name,main_link,proposal_min,proposal_max,proposal_currency
99,https://hh.ru/vacancy/38645097,Data Scientist/ML Engineer,https://hh.ru,,,
100,https://hh.ru/vacancy/37688243,Lead Data Scientist управления финансовых моделей (Big data),https://hh.ru,,,
101,https://hh.ru/vacancy/38660521,Data Scientist,https://hh.ru,120000.0,170000.0,руб.
102,https://hh.ru/vacancy/39126398,Data Scientist,https://hh.ru,100000.0,,руб.
103,https://hh.ru/vacancy/38638251,Data Scientist (Computer Vision),https://hh.ru,200000.0,,руб.
104,https://hh.ru/vacancy/38961658,Data scientist (middle/junior),https://hh.ru,,120000.0,руб.
105,https://hh.ru/vacancy/39154414,Аналитик данных (Data Scientist),https://hh.ru,,150000.0,руб.
106,https://hh.ru/vacancy/38090271,Data Scientist (Computer Vision),https://hh.ru,90000.0,200000.0,руб.
107,https://hh.ru/vacancy/38883862,Data Scientist,https://hh.ru,150000.0,,руб.
108,https://hh.ru/vacancy/39156603,Junior Data Scientist,https://hh.ru,,,
109,https://hh.ru/vacancy/39149917,Data Scientist,https://hh.ru,,,
110,https://hh.ru/vacancy/38732890,Data Scientist / Machine Learning Engineer,https://hh.ru,150000.0,,руб.
111,https://hh.ru/vacancy/39188494,"Data Scientist, аналитик",https://hh.ru,,,
112,https://hh.ru/vacancy/39130131,Data Scientist,https://hh.ru,,,
113,https://hh.ru/vacancy/38576646,Data Scientist (middle or senior),https://hh.ru,,500000.0,руб.
114,https://hh.ru/vacancy/39115547,Data Scientist в Маркет,https://hh.ru,,,
115,https://hh.ru/vacancy/39158146,Data Scientist (middle),https://hh.ru,,,
116,https://hh.ru/vacancy/39136269,Data scientist / analyst,https://hh.ru,,,
117,https://hh.ru/vacancy/39126680,Специалист по Data Science / Data scientist / Data Engineer,https://hh.ru,,,
118,https://hh.ru/vacancy/38544143,Data Scientist,https://hh.ru,,,
119,https://hh.ru/vacancy/38691954,Junior Data Scientist,https://hh.ru,,,
120,https://hh.ru/vacancy/38226025,Senior Data Scientist,https://hh.ru,200000.0,,руб.
121,https://hh.ru/vacancy/39140271,Junior/Middle/Senior Data Scientist (AI Lab),https://hh.ru,,,
122,https://hh.ru/vacancy/39084554,Математик/ Data-scientist,https://hh.ru,,,
123,https://hh.ru/vacancy/38595162,Data scientist,https://hh.ru,,,
124,https://hh.ru/vacancy/38222140,"Data scientist /аналитик данных (медицина, наука, образование, социология)",https://hh.ru,120000.0,150000.0,руб.
125,https://hh.ru/vacancy/39104817,Data Scientist/ Аналитик данных,https://hh.ru,,,
126,https://hh.ru/vacancy/39151871,Аналитик-разработчик (Data Scientist),https://hh.ru,,,
127,https://hh.ru/vacancy/39176432,Data Scientist,https://hh.ru,,,
128,https://hh.ru/vacancy/38517270,Data scientist,https://hh.ru,,,
129,https://hh.ru/vacancy/38924294,Senior Data Scientist (remotely),https://hh.ru,,,
130,https://hh.ru/vacancy/38079113,Data Scientist,https://hh.ru,,,
131,https://hh.ru/vacancy/39103246,Python developer / data scientist,https://hh.ru,,,
132,https://hh.ru/vacancy/38037678,Data scientist (аналитик/ моделист),https://hh.ru,,,
133,https://hh.ru/vacancy/36997030,Data Scientist (computer vision),https://hh.ru,,,
134,https://hh.ru/vacancy/38083739,Data Scientist (Internal Audit),https://hh.ru,,,
135,https://hh.ru/vacancy/39181844,Data Scientist Дивизион `Массовая персонализация` (Ведущий исследователь данных),https://hh.ru,,,
136,https://hh.ru/vacancy/38527809,Data scientist в Дивизион `Массовая персонализация`,https://hh.ru,,,
137,https://hh.ru/vacancy/39051168,Data Scientist,https://hh.ru,,,
138,https://hh.ru/vacancy/38984081,Ведущий Data scientist,https://hh.ru,,,
139,https://hh.ru/vacancy/38308826,Data Scientist,https://hh.ru,,,
140,https://hh.ru/vacancy/38071205,Data Scientist на проекты по анализу текстов и новостей,https://hh.ru,,,
141,https://hh.ru/vacancy/39112182,Data scientist (NLP/OCR/CV),https://hh.ru,,,
142,https://hh.ru/vacancy/37625294,Data scientist/ Директор в управлении розничного моделирования,https://hh.ru,,,
143,https://hh.ru/vacancy/38504146,Data Scientist,https://hh.ru,,,
144,https://hh.ru/vacancy/38665916,Lead data scientist,https://hh.ru,,,
145,https://hh.ru/vacancy/38386451,Data Scientist,https://hh.ru,,,
146,https://hh.ru/vacancy/39055069,Аналитик (Data Scientist),https://hh.ru,,,
147,https://hh.ru/vacancy/39132016,Senior Data Scientist,https://hh.ru,,,
148,https://hh.ru/vacancy/38324035,Senior Data scientist,https://hh.ru,,,
149,https://hh.ru/vacancy/38645097,Data Scientist/ML Engineer,https://hh.ru,,,
150,https://hh.ru/vacancy/37688243,Lead Data Scientist управления финансовых моделей (Big data),https://hh.ru,,,
151,https://hh.ru/vacancy/38660521,Data Scientist,https://hh.ru,120000.0,170000.0,руб.
152,https://hh.ru/vacancy/39126398,Data Scientist,https://hh.ru,100000.0,,руб.
153,https://hh.ru/vacancy/38638251,Data Scientist (Computer Vision),https://hh.ru,200000.0,,руб.
154,https://hh.ru/vacancy/38961658,Data scientist (middle/junior),https://hh.ru,,120000.0,руб.
155,https://hh.ru/vacancy/39154414,Аналитик данных (Data Scientist),https://hh.ru,,150000.0,руб.
156,https://hh.ru/vacancy/38090271,Data Scientist (Computer Vision),https://hh.ru,90000.0,200000.0,руб.
157,https://hh.ru/vacancy/38883862,Data Scientist,https://hh.ru,150000.0,,руб.
158,https://hh.ru/vacancy/39156603,Junior Data Scientist,https://hh.ru,,,
159,https://hh.ru/vacancy/39149917,Data Scientist,https://hh.ru,,,
160,https://hh.ru/vacancy/38732890,Data Scientist / Machine Learning Engineer,https://hh.ru,150000.0,,руб.
161,https://hh.ru/vacancy/39188494,"Data Scientist, аналитик",https://hh.ru,,,
162,https://hh.ru/vacancy/39130131,Data Scientist,https://hh.ru,,,
163,https://hh.ru/vacancy/38576646,Data Scientist (middle or senior),https://hh.ru,,500000.0,руб.
164,https://hh.ru/vacancy/39115547,Data Scientist в Маркет,https://hh.ru,,,
165,https://hh.ru/vacancy/39158146,Data Scientist (middle),https://hh.ru,,,
166,https://hh.ru/vacancy/39136269,Data scientist / analyst,https://hh.ru,,,
167,https://hh.ru/vacancy/39126680,Специалист по Data Science / Data scientist / Data Engineer,https://hh.ru,,,
168,https://hh.ru/vacancy/38544143,Data Scientist,https://hh.ru,,,
169,https://hh.ru/vacancy/38691954,Junior Data Scientist,https://hh.ru,,,
170,https://hh.ru/vacancy/38226025,Senior Data Scientist,https://hh.ru,200000.0,,руб.
171,https://hh.ru/vacancy/39140271,Junior/Middle/Senior Data Scientist (AI Lab),https://hh.ru,,,
172,https://hh.ru/vacancy/39084554,Математик/ Data-scientist,https://hh.ru,,,
173,https://hh.ru/vacancy/38595162,Data scientist,https://hh.ru,,,
174,https://hh.ru/vacancy/38222140,"Data scientist /аналитик данных (медицина, наука, образование, социология)",https://hh.ru,120000.0,150000.0,руб.
175,https://hh.ru/vacancy/39104817,Data Scientist/ Аналитик данных,https://hh.ru,,,
176,https://hh.ru/vacancy/39151871,Аналитик-разработчик (Data Scientist),https://hh.ru,,,
177,https://hh.ru/vacancy/39176432,Data Scientist,https://hh.ru,,,
178,https://hh.ru/vacancy/38517270,Data scientist,https://hh.ru,,,
179,https://hh.ru/vacancy/38924294,Senior Data Scientist (remotely),https://hh.ru,,,
180,https://hh.ru/vacancy/38079113,Data Scientist,https://hh.ru,,,
181,https://hh.ru/vacancy/39103246,Python developer / data scientist,https://hh.ru,,,
182,https://hh.ru/vacancy/38037678,Data scientist (аналитик/ моделист),https://hh.ru,,,
183,https://hh.ru/vacancy/36997030,Data Scientist (computer vision),https://hh.ru,,,
184,https://hh.ru/vacancy/38083739,Data Scientist (Internal Audit),https://hh.ru,,,
185,https://hh.ru/vacancy/39181844,Data Scientist Дивизион `Массовая персонализация` (Ведущий исследователь данных),https://hh.ru,,,
186,https://hh.ru/vacancy/38527809,Data scientist в Дивизион `Массовая персонализация`,https://hh.ru,,,
187,https://hh.ru/vacancy/39051168,Data Scientist,https://hh.ru,,,
188,https://hh.ru/vacancy/38984081,Ведущий Data scientist,https://hh.ru,,,
189,https://hh.ru/vacancy/38308826,Data Scientist,https://hh.ru,,,
190,https://hh.ru/vacancy/38071205,Data Scientist на проекты по анализу текстов и новостей,https://hh.ru,,,
191,https://hh.ru/vacancy/39112182,Data scientist (NLP/OCR/CV),https://hh.ru,,,
192,https://hh.ru/vacancy/37625294,Data scientist/ Директор в управлении розничного моделирования,https://hh.ru,,,
193,https://hh.ru/vacancy/38504146,Data Scientist,https://hh.ru,,,
194,https://hh.ru/vacancy/38665916,Lead data scientist,https://hh.ru,,,
195,https://hh.ru/vacancy/38386451,Data Scientist,https://hh.ru,,,
196,https://hh.ru/vacancy/39055069,Аналитик (Data Scientist),https://hh.ru,,,
197,https://hh.ru/vacancy/39132016,Senior Data Scientist,https://hh.ru,,,
198,https://hh.ru/vacancy/38324035,Senior Data scientist,https://hh.ru,,,
199,https://hh.ru/vacancy/38645097,Data Scientist/ML Engineer,https://hh.ru,,,
200,https://hh.ru/vacancy/37688243,Lead Data Scientist управления финансовых моделей (Big data),https://hh.ru,,,
